D_INTERVIEW	B_COUNTRY	H_URBRURAL	S_INTLANGUAGE	Q260	X003R	Q266	Q267	Q268	Q272	Q275	Q288	Q289
788070642	Tunisia	Urban	Arabic	Female	25-34 years	Tunisia	Tunisia	Tunisia	Tunisian Arabic;Tunisian	Upper secondary education (ISCED 3)		Muslim
50070605	Bangladesh	Rural	Bengali; Bangla	Female	16-24 years	Bangladesh	Bangladesh	Bangladesh	Bengali; Bangla	Upper secondary education (ISCED 3)	6.0	Hindu
364071422	Iran	Rural	Persian; Farsi; Dari	Female	16-24 years	Iran	Iran	Iran	Kurdish; Yezidi	Post-secondary non-tertiary education (ISCED 4)	5.0	Muslim
566070032	Nigeria	Urban	English	Male	35-44 years	Nigeria	Nigeria	Nigeria	Other	Master or equivalent (ISCED 7)	1.0	Protestant
400070453	Jordan	Rural	Arabic	Male	55-64 years	Jordan	Jordan	Jordan	Arabic	Short-cycle tertiary education (ISCED 5)	4.0	Muslim
398070419	Kazakhstan	Urban	Russian	Female	55-64 years	Kazakhstan	Kazakhstan	Kazakhstan	Russian	Upper secondary education (ISCED 3)	3.0	Muslim
826070945	Great Britain	Rural	English	Male	55-64 years	United Kingdom			English	Lower secondary education (ISCED 2)		Do not belong to a denomination
50070548	Bangladesh	Rural	Bengali; Bangla	Female	35-44 years	Bangladesh	Bangladesh	Bangladesh	Bengali; Bangla	Lower secondary education (ISCED 2)	4.0	Muslim
446070750	Macao SAR	Urban	Standard Chinese; Mandarin; Putonghua; Guoyu	Female	16-24 years	China	China	China	Cantonese	Bachelor or equivalent (ISCED 6)	4.0	Do not belong to a denomination
196070316	Cyprus	Urban	Greek, Modern	Male	55-64 years	Cyprus	Cyprus	Cyprus	Greek, Modern	Upper secondary education (ISCED 3)	7.0	Orthodox (Russian/Greek/etc.)
410070207	South Korea	Urban	Korean	Female	55-64 years	South Korea	South Korea	South Korea	Korean	Lower secondary education (ISCED 2)	5.0	Do not belong to a denomination
528071174	Netherlands	Urban	Dutch; Flemish	Female	55-64 years	Netherlands	Netherlands	Netherlands	1190	Post-secondary non-tertiary education (ISCED 4)	2.0	Do not belong to a denomination
124075822	Canada	Urban	English	Male	35-44 years	Ecuador	Ecuador	Ecuador	Spanish; Castilian	Bachelor or equivalent (ISCED 6)	7.0	Roman Catholic
156072482	China	Urban	Standard Chinese; Mandarin; Putonghua; Guoyu	Male	16-24 years				Other Chinese dialects	Upper secondary education (ISCED 3)	5.0	Do not belong to a denomination
716071038	Zimbabwe	Rural	Shona;chiShona	Female	25-34 years	Zimbabwe	Zimbabwe	Malawi	Shona;chiShona	Upper secondary education (ISCED 3)	2.0	Orthodox (Russian/Greek/etc.)
156072880	China	Rural	Standard Chinese; Mandarin; Putonghua; Guoyu	Female	16-24 years				Other Chinese dialects	Upper secondary education (ISCED 3)	4.0	Buddhist
484070903	Mexico	Urban	Spanish; Castilian	Female	25-34 years	Mexico	Mexico	Mexico	Spanish; Castilian	Post-secondary non-tertiary education (ISCED 4)	2.0	Roman Catholic
704070257	Vietnam	Urban	Vietnamese	Male	45-54 years	Vietnam	Vietnam	Vietnam	Vietnamese	Upper secondary education (ISCED 3)	5.0	Do not belong to a denomination
484071379	Mexico	Rural	Spanish; Castilian	Male	45-54 years	Mexico	Mexico	Mexico	Spanish; Castilian	Primary education (ISCED 1)	1.0	Roman Catholic
604070942	Peru	Urban	Spanish; Castilian	Female	16-24 years	Peru	Peru	Peru	Spanish; Castilian	Upper secondary education (ISCED 3)	7.0	Roman Catholic
364071495	Iran	Urban	Persian; Farsi; Dari	Female	16-24 years	Iran	Iran	Iran	Persian; Farsi; Dari	Post-secondary non-tertiary education (ISCED 4)	1.0	Muslim
32070782	Argentina	Urban	Spanish; Castilian	Female	16-24 years	Argentina	Argentina	Argentina	Spanish; Castilian	Upper secondary education (ISCED 3)	7.0	Roman Catholic
360071304	Indonesia	Urban	Indonesian	Male	35-44 years	Indonesia	Indonesia	Indonesia	Indonesian	Upper secondary education (ISCED 3)	7.0	Protestant
410070526	South Korea	Urban	Korean	Female	45-54 years	South Korea	South Korea	South Korea	Korean	Bachelor or equivalent (ISCED 6)	5.0	Protestant
344070078	Hong Kong SAR	Urban	Cantonese	Female	55-64 years	China	China	China	Cantonese	Lower secondary education (ISCED 2)	3.0	Protestant
422070296	Lebanon	Urban	Arabic	Female	45-54 years	Lebanon	Lebanon	Lebanon	Arabic	Master or equivalent (ISCED 7)	8.0	Muslim
792070149	Turkey	Urban	Turkish	Male	25-34 years	Turkey	Turkey	Turkey		Primary education (ISCED 1)	5.0	Muslim
203070726	Czechia	Urban	Czech	Male	45-54 years	Czech Rep.	Czech Rep.	Czech Rep.	Czech	Upper secondary education (ISCED 3)	4.0	Roman Catholic
762070868	Tajikistan	Rural	Tajik	Female	55-64 years	Tajikistan	Tajikistan	Tajikistan	Tajik	Short-cycle tertiary education (ISCED 5)	6.0	Muslim
840073554	United States	Rural	English	Male	16-24 years	United States			English			Roman Catholic
702070821	Singapore	Urban	English	Female	55-64 years	Singapore	China	China	English	Short-cycle tertiary education (ISCED 5)	5.0	Protestant
586070219	Pakistan	Urban	Urdu	Male	25-34 years	Pakistan	Pakistan	Pakistan	Urdu	Upper secondary education (ISCED 3)	6.0	Muslim
496071046	Mongolia	Rural	Mongolian	Female	25-34 years	Mongolia	Mongolia	Mongolia	Mongolian	Bachelor or equivalent (ISCED 6)	5.0	Buddhist
368070551	Iraq	Urban	Arabic	Male	45-54 years	Iraq	Iraq	Iraq	Arabic	Upper secondary education (ISCED 3)	3.0	Muslim
642070899	Romania	Urban	Romanian, Moldavian, Moldovan	Female	16-24 years	Romania	Romania	Romania	Romanian, Moldavian, Moldovan	Bachelor or equivalent (ISCED 6)	10.0	Orthodox (Russian/Greek/etc.)
762070236	Tajikistan	Rural	Tajik	Male	45-54 years	Tajikistan	Tajikistan	Tajikistan	Tajik	Lower secondary education (ISCED 2)	6.0	Muslim
792072300	Turkey	Urban	Turkish	Male	25-34 years	Turkey	Turkey	Turkey		Upper secondary education (ISCED 3)	6.0	Muslim
124072835	Canada	Urban	English	Female	16-24 years	Canada	Canada	India	English	Post-secondary non-tertiary education (ISCED 4)	4.0	Hindu
762071148	Tajikistan	Rural	Tajik	Female	35-44 years	Tajikistan	Tajikistan	Tajikistan	Tajik	Lower secondary education (ISCED 2)	6.0	Muslim
792070623	Turkey	Urban	Turkish	Female	55-64 years	Turkey	Turkey	Turkey		Early childhood education (ISCED 0) / no education	8.0	Muslim
51070550	Armenia	Rural	Armenian; Hayeren	Female	45-54 years	Armenia	Armenia	Armenia	Armenian; Hayeren	Upper secondary education (ISCED 3)	7.0	Orthodox (Russian/Greek/etc.)
68071549	Bolivia	Urban	Spanish; Castilian	Male	55-64 years	Bolivia	Bolivia	Bolivia	Spanish; Castilian	Short-cycle tertiary education (ISCED 5)	5.0	Roman Catholic
434070971	Libya	Urban	Arabic	Female	35-44 years	Libya	Libya	Libya	Arabic	Upper secondary education (ISCED 3)	5.0	Muslim
124074875	Canada	Urban	English	Male	45-54 years	Canada	Canada	Canada	French	Post-secondary non-tertiary education (ISCED 4)	7.0	Do not belong to a denomination
344071888	Hong Kong SAR	Urban	Cantonese	Female	35-44 years	Hong Kong SAR			Cantonese	Upper secondary education (ISCED 3)	6.0	Do not belong to a denomination
170079249	Colombia	Urban	Spanish; Castilian	Female	35-44 years	Colombia	Colombia	Colombia	Spanish; Castilian	Upper secondary education (ISCED 3)	4.0	Do not belong to a denomination
558070622	Nicaragua	Urban	Spanish; Castilian	Male	45-54 years	Nicaragua	Nicaragua	Nicaragua	Spanish; Castilian	Primary education (ISCED 1)	5.0	Roman Catholic
764070059	Thailand	Urban	Thai; Central Thai	Female	35-44 years	Thailand	Thailand	Thailand	Thai; Central Thai	Bachelor or equivalent (ISCED 6)	6.0	Buddhist
818070319	Egypt	Urban	Arabic	Female	45-54 years	Egypt	Egypt	Egypt	Arabic	Bachelor or equivalent (ISCED 6)	5.0	Muslim
400070043	Jordan	Urban	Arabic	Female	45-54 years	Jordan	Jordan	Jordan	Arabic	Primary education (ISCED 1)	5.0	Muslim
608070424	Philippines	Urban	Filipino; Pilipino	Female	45-54 years	Philippines	Philippines	Philippines	Kapampangan	Lower secondary education (ISCED 2)	5.0	Roman Catholic
364071784	Iran	Urban	Persian; Farsi; Dari	Female	35-44 years	Iran	Iran	Iran	Persian; Farsi; Dari	Master or equivalent (ISCED 7)	5.0	Muslim
20070277	Andorra	Urban	Spanish; Castilian	Female	45-54 years	Portugal	Portugal	Portugal	Portuguese	Primary education (ISCED 1)	4.0	Roman Catholic
716070233	Zimbabwe	Urban	English	Male	16-24 years	Zimbabwe	Zimbabwe	Zimbabwe	North Ndebele	Upper secondary education (ISCED 3)	4.0	Roman Catholic
156070507	China	Urban	Standard Chinese; Mandarin; Putonghua; Guoyu	Female	65 and over				Other Chinese dialects	Lower secondary education (ISCED 2)	2.0	Do not belong to a denomination
702071179	Singapore	Urban	English	Male	45-54 years	Singapore	Singapore	Singapore	Standard Chinese; Mandarin; Putonghua; Guoyu	Post-secondary non-tertiary education (ISCED 4)	6.0	Buddhist
643071401	Russia	Urban	Russian	Female	45-54 years	Russia	Russia	Russia	Russian	Short-cycle tertiary education (ISCED 5)	6.0	Orthodox (Russian/Greek/etc.)
152070881	Chile	Urban	Spanish; Castilian	Male	25-34 years	Chile	Chile	Chile	Spanish; Castilian	Short-cycle tertiary education (ISCED 5)	5.0	Do not belong to a denomination
156070580	China	Urban	Standard Chinese; Mandarin; Putonghua; Guoyu	Male	55-64 years				Other Chinese dialects	Lower secondary education (ISCED 2)	6.0	Do not belong to a denomination
76070981	Brazil	Urban	Portuguese	Male	16-24 years	Brazil	Brazil	Brazil	Portuguese	Upper secondary education (ISCED 3)		Do not belong to a denomination
566070737	Nigeria	Urban	Hausa	Female	35-44 years	Nigeria	Nigeria	Nigeria	Nigerian Pidgin	Upper secondary education (ISCED 3)	5.0	Roman Catholic
360071306	Indonesia	Urban	Indonesian	Female	25-34 years	Indonesia	Indonesia	Indonesia	Indonesian	Lower secondary education (ISCED 2)	4.0	Muslim
344070164	Hong Kong SAR	Urban	Cantonese	Male	35-44 years	Hong Kong SAR	Hong Kong SAR	Hong Kong SAR	Cantonese	Post-secondary non-tertiary education (ISCED 4)	5.0	Protestant
344070096	Hong Kong SAR	Urban	Cantonese	Male	35-44 years	China	China	China	Cantonese	Post-secondary non-tertiary education (ISCED 4)	3.0	Do not belong to a denomination
586071219	Pakistan	Rural	Urdu	Female	25-34 years	Pakistan	Pakistan	Pakistan	Punjabi, Panjabi	Early childhood education (ISCED 0) / no education	1.0	Muslim
862070702	Venezuela	Urban	Spanish; Castilian	Male	16-24 years	Venezuela	Venezuela	Venezuela	Spanish; Castilian	Lower secondary education (ISCED 2)	8.0	Do not belong to a denomination
458070043	Malaysia	Rural	Malay; Malaysian	Female	45-54 years	Malaysia	Malaysia	Malaysia	Malay; Malaysian	Primary education (ISCED 1)	4.0	Muslim
702070055	Singapore	Urban	English	Male	25-34 years	Myanmar	Myanmar	Myanmar	Other	Master or equivalent (ISCED 7)	7.0	Buddhist
398070770	Kazakhstan	Urban	Kazakh	Female	45-54 years	Kazakhstan	Kazakhstan	Kazakhstan	Kazakh	Post-secondary non-tertiary education (ISCED 4)	3.0	Muslim
643071430	Russia	Urban	Russian	Female	25-34 years	Russia	Russia	Russia	Russian	Master or equivalent (ISCED 7)	5.0	Orthodox (Russian/Greek/etc.)
344071515	Hong Kong SAR	Urban	Cantonese	Female	55-64 years	Hong Kong SAR	Hong Kong SAR	Hong Kong SAR	Cantonese	Upper secondary education (ISCED 3)	4.0	Do not belong to a denomination
554070650	New Zealand	Rural	English	Female	55-64 years	Other	Other	Other	English	Short-cycle tertiary education (ISCED 5)	1.0	Do not belong to a denomination
826072515	Great Britain	Urban	English	Female	16-24 years	United Kingdom			English		4.0	Do not belong to a denomination
32070915	Argentina	Urban	Spanish; Castilian	Male	45-54 years	Argentina			Spanish; Castilian	Primary education (ISCED 1)	6.0	Roman Catholic
404070354	Kenya	Urban	English	Female	35-44 years	Kenya	Kenya	Kenya	Swahili	Post-secondary non-tertiary education (ISCED 4)	5.0	Protestant
496070813	Mongolia	Urban	Mongolian	Male	65 and over	Mongolia	Mongolia	Mongolia	Mongolian	Bachelor or equivalent (ISCED 6)	8.0	Buddhist
398071048	Kazakhstan	Urban	Russian	Male	25-34 years	Kazakhstan	Kazakhstan	Kazakhstan	Russian	Master or equivalent (ISCED 7)		Do not belong to a denomination
50070032	Bangladesh	Urban	Bengali; Bangla	Female	16-24 years	Bangladesh	Bangladesh	Bangladesh	Bengali; Bangla	Lower secondary education (ISCED 2)	4.0	Muslim
104070846	Myanmar	Urban	Burmese	Female	35-44 years	Myanmar	Myanmar	Myanmar	Burmese	Upper secondary education (ISCED 3)	7.0	Buddhist
504070042	Morocco	Urban	Arabic	Female	45-54 years	Morocco	Morocco	Morocco	Arabic	Master or equivalent (ISCED 7)	5.0	Muslim
360072173	Indonesia	Rural	Indonesian	Female	65 and over	Indonesia	Indonesia	Indonesia	Javanese	Primary education (ISCED 1)	1.0	Muslim
76071691	Brazil	Rural	Portuguese	Female	65 and over	Brazil	Brazil	Brazil	Portuguese	Primary education (ISCED 1)	1.0	Roman Catholic
604071305	Peru	Urban	Spanish; Castilian	Male	25-34 years	Peru	Peru	Peru	Spanish; Castilian	Upper secondary education (ISCED 3)	5.0	Roman Catholic
344071452	Hong Kong SAR	Urban	Cantonese	Female	25-34 years	Hong Kong SAR	Hong Kong SAR	Hong Kong SAR	Cantonese	Bachelor or equivalent (ISCED 6)	2.0	Roman Catholic
826072255	Great Britain	Rural	English	Male	55-64 years	United Kingdom			English	Lower secondary education (ISCED 2)	9.0	Do not belong to a denomination
344071524	Hong Kong SAR	Urban	Cantonese	Female	45-54 years	Hong Kong SAR			Cantonese	Upper secondary education (ISCED 3)	5.0	Do not belong to a denomination
434070079	Libya	Rural	Arabic	Female	35-44 years	Libya	Libya	Libya	Arabic	Bachelor or equivalent (ISCED 6)	6.0	Muslim
484070242	Mexico	Rural	Spanish; Castilian	Male	35-44 years	Mexico	Mexico	Mexico	Spanish; Castilian	Upper secondary education (ISCED 3)	2.0	Roman Catholic
496070378	Mongolia	Urban	Mongolian	Female	25-34 years	Mongolia	Mongolia	Mongolia	Mongolian	Bachelor or equivalent (ISCED 6)	4.0	Do not belong to a denomination
404070572	Kenya	Rural	English	Male	25-34 years	Kenya	Kenya	Kenya	Mijikenda	Upper secondary education (ISCED 3)	6.0	Protestant
462070325	Maldives	Rural	1105	Female	65 and over	462	462	462	1105	Early childhood education (ISCED 0) / no education	4.0	Muslim
398071205	Kazakhstan	Urban	Kazakh	Female	35-44 years	Kazakhstan	Kazakhstan	Kazakhstan	Kazakh	Bachelor or equivalent (ISCED 6)	6.0	Muslim
566070514	Nigeria	Urban	Yoruba	Male	35-44 years	Nigeria	Nigeria	Nigeria	Yoruba	Upper secondary education (ISCED 3)	5.0	Protestant
792070890	Turkey	Urban	Turkish	Female	35-44 years	Turkey	Turkey	Turkey		Early childhood education (ISCED 0) / no education	2.0	Muslim
368070723	Iraq	Rural	Arabic	Female	25-34 years	Iraq	Iraq	Iraq	Arabic	Bachelor or equivalent (ISCED 6)	4.0	Muslim
528070335	Netherlands	Urban	Dutch; Flemish	Male	65 and over	Netherlands	Netherlands	Netherlands	English	Master or equivalent (ISCED 7)		Do not belong to a denomination
50070090	Bangladesh	Rural	Bengali; Bangla	Female	25-34 years	Bangladesh	Bangladesh	Bangladesh	Bengali; Bangla	Upper secondary education (ISCED 3)	8.0	Muslim
804071003	Ukraine	Rural	Ukrainian	Female	65 and over	Ukraine	Ukraine	Ukraine	Ukrainian	Lower secondary education (ISCED 2)		Orthodox (Russian/Greek/etc.)
688070201	Serbia	Urban	Serbian	Female	55-64 years	Serbia	Serbia	Serbia	Serbian	Post-secondary non-tertiary education (ISCED 4)	3.0	Orthodox (Russian/Greek/etc.)
231070595	Ethiopia	Rural	Amharic	Female	16-24 years	Ethiopia	Ethiopia	Ethiopia	Afar	Early childhood education (ISCED 0) / no education	6.0	Muslim
643070481	Russia	Rural	Russian	Male	35-44 years	Russia	Russia	Russia	Russian	Upper secondary education (ISCED 3)	1.0	Orthodox (Russian/Greek/etc.)
702070628	Singapore	Urban	English	Male	25-34 years	Singapore	Malaysia	Singapore	Standard Chinese; Mandarin; Putonghua; Guoyu	Post-secondary non-tertiary education (ISCED 4)	3.0	Buddhist
156070439	China	Rural	Standard Chinese; Mandarin; Putonghua; Guoyu	Female	45-54 years				Other Chinese dialects	Primary education (ISCED 1)	5.0	Protestant
152070225	Chile	Urban	Spanish; Castilian	Female	35-44 years	Chile	Chile	Chile	Spanish; Castilian	Post-secondary non-tertiary education (ISCED 4)	5.0	Do not belong to a denomination
50070771	Bangladesh	Rural	Bengali; Bangla	Male	45-54 years	Bangladesh	Bangladesh	Bangladesh	Bengali; Bangla	Lower secondary education (ISCED 2)	6.0	Muslim
320070387	Guatemala	Urban	Spanish; Castilian	Female	16-24 years	Guatemala	Guatemala	Guatemala	Spanish; Castilian	Upper secondary education (ISCED 3)	1.0	Do not belong to a denomination
170073362	Colombia	Urban	Spanish; Castilian	Male	45-54 years	Colombia	Colombia	Colombia	Spanish; Castilian	Upper secondary education (ISCED 3)	4.0	Do not belong to a denomination
604070991	Peru	Rural	Spanish; Castilian	Female	55-64 years	Peru	Peru	Peru	Spanish; Castilian	Early childhood education (ISCED 0) / no education	1.0	Hindu
68070653	Bolivia	Urban	Spanish; Castilian	Female	25-34 years	Bolivia	Bolivia	Bolivia	Spanish; Castilian	Primary education (ISCED 1)	5.0	Protestant
504071167	Morocco	Urban	Arabic	Male	45-54 years	Morocco	Morocco	Morocco	Arabic	Short-cycle tertiary education (ISCED 5)	5.0	Muslim
124075164	Canada	Rural	English	Female	35-44 years	Canada	Canada	Canada	English	Post-secondary non-tertiary education (ISCED 4)	4.0	Do not belong to a denomination
826070308	Great Britain	Urban	English	Female	65 and over	United Kingdom			English	Lower secondary education (ISCED 2)		Protestant
50071044	Bangladesh	Urban	Bengali; Bangla	Male	35-44 years	Bangladesh	Bangladesh	Bangladesh	Bengali; Bangla	Upper secondary education (ISCED 3)	8.0	Muslim
688071073	Serbia	Urban	Serbian	Female	35-44 years	Serbia	Serbia	Serbia	Serbian	Post-secondary non-tertiary education (ISCED 4)	3.0	Orthodox (Russian/Greek/etc.)
804070500	Ukraine	Urban	Russian	Male	35-44 years	Ukraine	Ukraine	Ukraine	Russian	Master or equivalent (ISCED 7)	6.0	Other
360070830	Indonesia	Rural	Indonesian	Female	25-34 years	Indonesia	Indonesia	Indonesia	Indonesian	Upper secondary education (ISCED 3)	8.0	Muslim
276071360	Germany	Urban	German	Male	55-64 years	Germany	Germany	Germany	German	Doctoral or equivalent (ISCED 8)	6.0	Do not belong to a denomination
36071761	Australia	Rural	English	Male	45-54 years	Australia	Italy	Italy	English	Post-secondary non-tertiary education (ISCED 4)	3.0	Do not belong to a denomination
528070429	Netherlands	Urban	Dutch; Flemish	Female	45-54 years	Netherlands	Netherlands	Netherlands	1190	Master or equivalent (ISCED 7)	9.0	Do not belong to a denomination
643070759	Russia	Urban	Russian	Female	25-34 years	Russia	Russia	Russia	Russian	Short-cycle tertiary education (ISCED 5)	8.0	Do not belong to a denomination
152070443	Chile	Urban	Spanish; Castilian	Male	25-34 years	Chile	Chile	Chile	Spanish; Castilian	Post-secondary non-tertiary education (ISCED 4)	4.0	
792071866	Turkey	Rural	Turkish	Female	35-44 years	Turkey	Turkey	Turkey		Primary education (ISCED 1)	3.0	Muslim
417070077	Kyrgyzstan	Urban	Kirghiz; Kyrgyz	Female	16-24 years	Kyrgyzstan	Kyrgyzstan	Kyrgyzstan	Kirghiz; Kyrgyz	Upper secondary education (ISCED 3)	10.0	Muslim
792070435	Turkey	Urban	Turkish	Male	25-34 years	Turkey	Turkey	Turkey		Upper secondary education (ISCED 3)	4.0	Muslim
400070865	Jordan	Urban	Arabic	Female	25-34 years	Jordan	Jordan	Jordan	Arabic	Lower secondary education (ISCED 2)	5.0	Muslim
300070976	Greece	Urban	Greek, Modern	Male	55-64 years	Greece	Greece	Greece	Greek, Modern	Bachelor or equivalent (ISCED 6)	6.0	Orthodox (Russian/Greek/etc.)
360072071	Indonesia	Rural	Indonesian	Male	65 and over	Indonesia	Indonesia	Indonesia	Javanese	Lower secondary education (ISCED 2)	1.0	Muslim
608070806	Philippines	Urban	Cebuano; Bisaya; Binisaya	Female	16-24 years	Philippines	Philippines	Philippines	Cebuano; Bisaya; Binisaya	Upper secondary education (ISCED 3)	3.0	Roman Catholic
404071137	Kenya	Urban	English	Female	35-44 years	Kenya	Kenya	Kenya	Luhya	Lower secondary education (ISCED 2)	1.0	Roman Catholic
702070644	Singapore	Urban	English	Male	16-24 years	Singapore	Singapore	Singapore	English	Short-cycle tertiary education (ISCED 5)	5.0	Do not belong to a denomination
170076045	Colombia	Rural	Spanish; Castilian	Female	16-24 years	Colombia	Colombia	Colombia	Spanish; Castilian	Post-secondary non-tertiary education (ISCED 4)	3.0	Do not belong to a denomination
360070148	Indonesia	Rural	Indonesian	Female	35-44 years	Indonesia	Indonesia	Indonesia	Indonesian	Upper secondary education (ISCED 3)	6.0	Muslim
68071912	Bolivia	Urban	Spanish; Castilian	Male	35-44 years	Bolivia	Bolivia	Bolivia	Spanish; Castilian	Upper secondary education (ISCED 3)	5.0	Other Christian (Evangelical/Pentecostal/Fee church/etc.)
417070296	Kyrgyzstan	Urban	Russian	Male	35-44 years	Kyrgyzstan	Kyrgyzstan	Kyrgyzstan	Russian	Post-secondary non-tertiary education (ISCED 4)	7.0	Muslim
764070276	Thailand	Rural	Thai; Central Thai	Female	16-24 years	Thailand	Thailand	Thailand	Thai; Central Thai	Bachelor or equivalent (ISCED 6)	5.0	Buddhist
124072182	Canada	Urban	English	Male	16-24 years	Canada	Canada	Canada	English	Upper secondary education (ISCED 3)	4.0	Do not belong to a denomination
20070224	Andorra	Urban	Catalan; Valencian	Male	65 and over	Spain	Spain	Spain	Catalan; Valencian	Bachelor or equivalent (ISCED 6)	7.0	Roman Catholic
704070738	Vietnam	Rural	Vietnamese	Male	45-54 years	Vietnam	Vietnam	Vietnam	Vietnamese	Upper secondary education (ISCED 3)	4.0	Do not belong to a denomination
392070620	Japan	Urban	Japanese	Male	16-24 years	Japan	Japan	Japan	Japanese	Post-secondary non-tertiary education (ISCED 4)	4.0	Do not belong to a denomination
158070103	Taiwan RO	Urban	Standard Chinese; Mandarin; Putonghua; Guoyu	Female	25-34 years	Taiwan ROC	Taiwan ROC	Taiwan ROC	Standard Chinese; Mandarin; Putonghua; Guoyu	Bachelor or equivalent (ISCED 6)	3.0	Protestant
792070291	Turkey	Urban	Turkish	Female	55-64 years	Turkey	Turkey	Turkey		Primary education (ISCED 1)	2.0	Muslim
788070308	Tunisia	Urban	Arabic	Female	45-54 years	Tunisia	Tunisia	Tunisia	Tunisian Arabic;Tunisian	Primary education (ISCED 1)	5.0	Muslim
688070113	Serbia	Urban	Serbian	Female	65 and over	Serbia	Serbia	Serbia	Serbian	Post-secondary non-tertiary education (ISCED 4)	5.0	Orthodox (Russian/Greek/etc.)
300070394	Greece	Urban	Greek, Modern	Male	45-54 years	Greece	Greece	Greece	Greek, Modern	Bachelor or equivalent (ISCED 6)	5.0	Orthodox (Russian/Greek/etc.)
704071141	Vietnam	Urban	Vietnamese	Female	35-44 years	Vietnam	Vietnam	Vietnam	Vietnamese	Post-secondary non-tertiary education (ISCED 4)	3.0	Buddhist
400070191	Jordan	Rural	Arabic	Female	16-24 years	Jordan	Jordan	Jordan	Arabic	Lower secondary education (ISCED 2)	2.0	Muslim
462070928	Maldives	Urban	1105	Male	35-44 years	462	462	462	1105	Primary education (ISCED 1)	5.0	Muslim
528070493	Netherlands	Rural	Dutch; Flemish	Female	35-44 years	Netherlands	Netherlands	Netherlands	1190	Post-secondary non-tertiary education (ISCED 4)		Protestant
792072061	Turkey	Rural	Turkish	Female	16-24 years	Turkey	Turkey	Turkey		Primary education (ISCED 1)	2.0	Muslim
792070378	Turkey	Urban	Turkish	Male	45-54 years	Turkey	Turkey	Turkey		Primary education (ISCED 1)	2.0	Muslim
764070064	Thailand	Urban	Thai; Central Thai	Female	25-34 years	Thailand	Thailand	Thailand	Thai; Central Thai	Bachelor or equivalent (ISCED 6)	3.0	Buddhist
566071095	Nigeria	Rural	Hausa	Male	16-24 years	Nigeria	Nigeria	Nigeria	Hausa	Upper secondary education (ISCED 3)	6.0	Muslim
156070967	China	Urban	Standard Chinese; Mandarin; Putonghua; Guoyu	Male	16-24 years				Other Chinese dialects	Upper secondary education (ISCED 3)	7.0	Do not belong to a denomination
586071062	Pakistan	Rural	Urdu	Female	16-24 years	Pakistan	Pakistan	Pakistan	Saraiki	Lower secondary education (ISCED 2)	1.0	Muslim
158071217	Taiwan RO	Urban	Standard Chinese; Mandarin; Putonghua; Guoyu	Male	65 and over	Taiwan ROC	Taiwan ROC	Taiwan ROC	Hokkien; Minnan	Primary education (ISCED 1)	3.0	Other
320071015	Guatemala	Urban	Spanish; Castilian	Male	16-24 years	Guatemala	Guatemala	Guatemala	Spanish; Castilian	Bachelor or equivalent (ISCED 6)	8.0	Protestant
152070878	Chile	Urban	Spanish; Castilian	Male	65 and over	Chile	Chile	Chile	Spanish; Castilian	Upper secondary education (ISCED 3)	3.0	Roman Catholic
32070617	Argentina	Urban	Spanish; Castilian	Female	45-54 years	Argentina	Argentina	Argentina	Spanish; Castilian	Upper secondary education (ISCED 3)	6.0	Other
818070986	Egypt	Rural	Arabic	Male	65 and over	Egypt	Egypt	Egypt	Arabic	Early childhood education (ISCED 0) / no education	4.0	Muslim
643070115	Russia	Rural	Russian	Male	35-44 years	Russia	Russia	Russia	Russian	Short-cycle tertiary education (ISCED 5)	2.0	Do not belong to a denomination
124073093	Canada	Urban	English	Male	55-64 years	Canada	Canada	Canada	English		2.0	Do not belong to a denomination
320070989	Guatemala	Urban	Spanish; Castilian	Male	16-24 years	Guatemala	Guatemala	Guatemala	Spanish; Castilian	Upper secondary education (ISCED 3)	5.0	Protestant
586071991	Pakistan	Rural	Urdu	Male	25-34 years	Pakistan	Pakistan	Pakistan	Pashto, Pushto	Post-secondary non-tertiary education (ISCED 4)	6.0	Muslim
566071170	Nigeria	Urban	Hausa	Male	35-44 years	Nigeria	Nigeria	Nigeria	Hausa	Lower secondary education (ISCED 2)	4.0	Muslim
446070836	Macao SAR	Urban	Standard Chinese; Mandarin; Putonghua; Guoyu	Female	25-34 years	China	Macau SAR	Macau SAR	Cantonese	Bachelor or equivalent (ISCED 6)	7.0	Do not belong to a denomination
400070338	Jordan	Urban	Arabic	Female	16-24 years	Jordan	Jordan	Jordan	Arabic	Upper secondary education (ISCED 3)	6.0	Muslim
364072500	Iran	Urban	Persian; Farsi; Dari	Male	25-34 years	Iran	Iran	Iran	Persian; Farsi; Dari	Bachelor or equivalent (ISCED 6)	4.0	Muslim
156070531	China	Urban	Standard Chinese; Mandarin; Putonghua; Guoyu	Male	35-44 years				Standard Chinese; Mandarin; Putonghua; Guoyu	Bachelor or equivalent (ISCED 6)	7.0	Do not belong to a denomination
68071126	Bolivia	Urban	Spanish; Castilian	Female	25-34 years	Bolivia	Bolivia	Bolivia	Spanish; Castilian	Upper secondary education (ISCED 3)	4.0	Do not belong to a denomination
218071062	Ecuador	Rural	Spanish; Castilian	Female	25-34 years	Ecuador	Ecuador	Ecuador	Spanish; Castilian	Upper secondary education (ISCED 3)	2.0	Protestant
462070352	Maldives	Rural	1105	Female	35-44 years	462	462	462	1105	Lower secondary education (ISCED 2)	6.0	Muslim
