Continent	Sex	Religion	D_INTERVIEW	Question_Col	Question Text	Ground Truth	LLAMA Score	LLAMA Explanation	LLAMA No Demography Score
North America	Male	Muslim	124071464	Q43	On a scale of 1 to 5, 1 meaning 'Good thing' and 5 meaning 'Bad thing',  how would you rate the following scenario if it were to happen in the near future: Less importance placed on work in our lives?	3.0	3	As a Muslim male from rural Canada with a high school education, I believe a less importance placed on work in our lives would positively impact my family and community, allowing more time for personal growth and quality relationships, however, it may also result in lower financial stability and security, hence a 3 on the scale.	
North America	Male	Other	840071135	Q43	On a scale of 1 to 5, 1 meaning 'Good thing' and 5 meaning 'Bad thing',  how would you rate the following scenario if it were to happen in the near future: Less importance placed on work in our lives?	3.0	3	With less importance placed on work, I could spend more time with loved ones, pursue hobbies and travel.	
North America	Male	Other	124074936	Q43	On a scale of 1 to 5, 1 meaning 'Good thing' and 5 meaning 'Bad thing',  how would you rate the following scenario if it were to happen in the near future: Less importance placed on work in our lives?	5.0	3	Good thing, allows for better work-life balance	
North America	Male	Orthodox (Russian/Greek/etc.)	124070992	Q43	On a scale of 1 to 5, 1 meaning 'Good thing' and 5 meaning 'Bad thing',  how would you rate the following scenario if it were to happen in the near future: Less importance placed on work in our lives?	3.0	3	I believe this would be a neutral thing. As an Orthodox Christian, work is something that is deeply ingrained in our beliefs, but at the same time, we prioritize faith and family. So, less importance placed on work in our lives might allow for more time to focus on these other important aspects.	
North America	Male	Do not belong to a denomination	558070499	Q43	On a scale of 1 to 5, 1 meaning 'Good thing' and 5 meaning 'Bad thing',  how would you rate the following scenario if it were to happen in the near future: Less importance placed on work in our lives?	1.0	4	Person X values more work-life balance, so a scenario placing less importance on work would be a good thing for them, with a score of 4 out of 5.	
North America	Male	Do not belong to a denomination	124073540	Q43	On a scale of 1 to 5, 1 meaning 'Good thing' and 5 meaning 'Bad thing',  how would you rate the following scenario if it were to happen in the near future: Less importance placed on work in our lives?	3.0	4	Person X, a male senior with university education, values hard work and considers it an important aspect of life, so they would rate less importance placed on work in our lives as a 4 out of 5, leaning towards it being a bad thing.	
North America	Male	Do not belong to a denomination	320071024	Q43	On a scale of 1 to 5, 1 meaning 'Good thing' and 5 meaning 'Bad thing',  how would you rate the following scenario if it were to happen in the near future: Less importance placed on work in our lives?	3.0	2	It's a good thing because it means more time for personal growth and relationships.	
North America	Male	Roman Catholic	484070989	Q43	On a scale of 1 to 5, 1 meaning 'Good thing' and 5 meaning 'Bad thing',  how would you rate the following scenario if it were to happen in the near future: Less importance placed on work in our lives?	3.0	2	It's a good thing because work-life balance is important and it will allow me to spend more time with my family.	
North America	Male	Roman Catholic	124070701	Q43	On a scale of 1 to 5, 1 meaning 'Good thing' and 5 meaning 'Bad thing',  how would you rate the following scenario if it were to happen in the near future: Less importance placed on work in our lives?	1.0	3	As a highly educated person with a Doctoral degree, Person X values work as a means of self-fulfillment and personal growth. However, they also prioritize work-life balance and believe that less importance placed on work could allow for more time for personal interests and relationships.	
North America	Male	Buddhist	840071373	Q43	On a scale of 1 to 5, 1 meaning 'Good thing' and 5 meaning 'Bad thing',  how would you rate the following scenario if it were to happen in the near future: Less importance placed on work in our lives?	3.0	3	Good thing! As a male in urban US, I believe having less emphasis on work can give me more time for personal growth & relationships.	
North America	Male	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	558070152	Q43	On a scale of 1 to 5, 1 meaning 'Good thing' and 5 meaning 'Bad thing',  how would you rate the following scenario if it were to happen in the near future: Less importance placed on work in our lives?	1.0	3	I would rate the scenario as a 3 because, as an Evangelical Christian male from Nicaragua, I believe in the importance of hard work and dedication to one's occupation. However, if the scenario were to happen in the near future, I would be open to the possibility of having more balance between work and personal life, which might be beneficial for my family and community.	
North America	Male	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	840072414	Q43	On a scale of 1 to 5, 1 meaning 'Good thing' and 5 meaning 'Bad thing',  how would you rate the following scenario if it were to happen in the near future: Less importance placed on work in our lives?	1.0	3	While I value work-life balance, reduced emphasis on work could impact my career growth and income.	
North America	Male	Jew	124070226	Q43	On a scale of 1 to 5, 1 meaning 'Good thing' and 5 meaning 'Bad thing',  how would you rate the following scenario if it were to happen in the near future: Less importance placed on work in our lives?	1.0	3	As a retiree, I have had my share of work experience and do not desire more stress. Therefore, a future where work has less importance is appealing to me.	
North America	Female	Muslim	840072305	Q43	On a scale of 1 to 5, 1 meaning 'Good thing' and 5 meaning 'Bad thing',  how would you rate the following scenario if it were to happen in the near future: Less importance placed on work in our lives?	1.0	2	It depends on the reasons for less importance being placed on work. If it means more flexibility or better work-life balance, it could be a good thing. But if it means lower pay or job insecurity, it could be a bad thing.	
North America	Female	Muslim	124072524	Q43	On a scale of 1 to 5, 1 meaning 'Good thing' and 5 meaning 'Bad thing',  how would you rate the following scenario if it were to happen in the near future: Less importance placed on work in our lives?	1.0	3	As a working professional with a post-secondary education, I believe that work is an important aspect of life and provides financial stability. However, I also value the importance of work-life balance and respite from the demands of my job. Therefore, I would rate a scenario with less importance placed on work as a neutral scenario, leaning towards a good thing.	
North America	Female	Other	124072983	Q43	On a scale of 1 to 5, 1 meaning 'Good thing' and 5 meaning 'Bad thing',  how would you rate the following scenario if it were to happen in the near future: Less importance placed on work in our lives?	1.0	2	Based on my previous experience, having less importance placed on work might lead to a more balanced life.	
North America	Female	Do not belong to a denomination	484070493	Q43	On a scale of 1 to 5, 1 meaning 'Good thing' and 5 meaning 'Bad thing',  how would you rate the following scenario if it were to happen in the near future: Less importance placed on work in our lives?	5.0	4	As a female in a urban setting in Mexico with primary education and a low income, I value the importance of work in my life as it provides stability and security for myself and my family.	
North America	Female	Do not belong to a denomination	124072336	Q43	On a scale of 1 to 5, 1 meaning 'Good thing' and 5 meaning 'Bad thing',  how would you rate the following scenario if it were to happen in the near future: Less importance placed on work in our lives?	1.0	3	Good thing, more balance in life.	
North America	Female	Roman Catholic	630070025	Q43	On a scale of 1 to 5, 1 meaning 'Good thing' and 5 meaning 'Bad thing',  how would you rate the following scenario if it were to happen in the near future: Less importance placed on work in our lives?	5.0	4	a good opportunity for work-life balance, allowing for more personal time and prioritization of family or leisure activities	
North America	Female	Buddhist	124072300	Q43	On a scale of 1 to 5, 1 meaning 'Good thing' and 5 meaning 'Bad thing',  how would you rate the following scenario if it were to happen in the near future: Less importance placed on work in our lives?	3.0	2	Slightly good thing. As a Buddhist, I value balance and self-care. Less emphasis on work can lead to more time for personal growth and spiritual development.	
North America	Female	Buddhist	840073292	Q43	On a scale of 1 to 5, 1 meaning 'Good thing' and 5 meaning 'Bad thing',  how would you rate the following scenario if it were to happen in the near future: Less importance placed on work in our lives?	3.0	4	Good thing, as it would give me more time to focus on my hobbies and personal growth, and also allow me to spend more quality time with my family and community.	
North America	Female	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	840072630	Q43	On a scale of 1 to 5, 1 meaning 'Good thing' and 5 meaning 'Bad thing',  how would you rate the following scenario if it were to happen in the near future: Less importance placed on work in our lives?	1.0	1	Good thing, I believe that less importance placed on work means more time and energy for family, hobbies and personal growth, leading to better overall well-being.	
North America	Female	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	558071071	Q43	On a scale of 1 to 5, 1 meaning 'Good thing' and 5 meaning 'Bad thing',  how would you rate the following scenario if it were to happen in the near future: Less importance placed on work in our lives?	5.0	4	Person X, being a woman from a rural area in Nicaragua, values hard work and may be skeptical of the idea of placing less importance on work in our lives. She might think that this could lead to a lack of purpose and financial stability.	
North America	Female	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	558070786	Q43	On a scale of 1 to 5, 1 meaning 'Good thing' and 5 meaning 'Bad thing',  how would you rate the following scenario if it were to happen in the near future: Less importance placed on work in our lives?	5.0	3	I believe this would be a good thing since it would allow me to focus on my family and personal growth, rather than just working long hours for financial survival.	
Oceania	Male	Do not belong to a denomination	36071286	Q43	On a scale of 1 to 5, 1 meaning 'Good thing' and 5 meaning 'Bad thing',  how would you rate the following scenario if it were to happen in the near future: Less importance placed on work in our lives?	1.0	4	Good thing; work-life balance would improve and lead to a healthier lifestyle.	
Oceania	Male	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	554070578	Q43	On a scale of 1 to 5, 1 meaning 'Good thing' and 5 meaning 'Bad thing',  how would you rate the following scenario if it were to happen in the near future: Less importance placed on work in our lives?	1.0	2	As an older male in an urban setting, I value the structure and purpose that work provides in our lives. Even though I'm retired, I still feel a sense of fulfillment from my past work and contributions. While having less importance placed on work might seem like a good thing, I worry it could lead to a lack of productivity and a sense of aimlessness in society.	
Oceania	Male	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	554070999	Q43	On a scale of 1 to 5, 1 meaning 'Good thing' and 5 meaning 'Bad thing',  how would you rate the following scenario if it were to happen in the near future: Less importance placed on work in our lives?	5.0	1	As an elderly male from Other Country (New Zealand), I value the importance of working to maintain financial stability and independence. Less importance placed on work would be a bad thing.	
Oceania	Male	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	36070332	Q43	On a scale of 1 to 5, 1 meaning 'Good thing' and 5 meaning 'Bad thing',  how would you rate the following scenario if it were to happen in the near future: Less importance placed on work in our lives?	1.0	3	As a 65+ years old male from urban area with high school education and middle income, I think it is a good thing if work has less importance in our lives as it would allow for more leisure time and chance to pursue personal interests, which would improve mental health and overall well-being.	
Oceania	Female	Do not belong to a denomination	36071579	Q43	On a scale of 1 to 5, 1 meaning 'Good thing' and 5 meaning 'Bad thing',  how would you rate the following scenario if it were to happen in the near future: Less importance placed on work in our lives?	3.0	3	I think it's a good thing as it may allow for more work-life balance and better mental health.	
Oceania	Female	Protestant	36070820	Q43	On a scale of 1 to 5, 1 meaning 'Good thing' and 5 meaning 'Bad thing',  how would you rate the following scenario if it were to happen in the near future: Less importance placed on work in our lives?	3.0	3	I feel that work-life balance is essential, and reducing the emphasis on work might be beneficial for our health and well-being. Thus, I would rate this as a 3 rather than a 1 or a 5.	
Oceania	Female	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	36070094	Q43	On a scale of 1 to 5, 1 meaning 'Good thing' and 5 meaning 'Bad thing',  how would you rate the following scenario if it were to happen in the near future: Less importance placed on work in our lives?	1.0	3	This would be a good thing because it would prioritize our well being and personal life, allowing us to have a more balanced life.	
Asia	Male	Muslim	417070211	Q128	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement at it pertains to the effects of immigration on development in this country: Immigration increases unemployment?	5.0	4	Person X, being an elderly male from a rural area in Kyrgyzstan, may have a negative view of immigration as it relates to unemployment. He may believe that immigration increases competition for jobs and lowers wages, potentially harming him and other locals in the job market. However, this belief may not be driven by data or evidence but rather by anecdotal experiences and biases.	4
Asia	Male	Other	608070505	Q128	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement at it pertains to the effects of immigration on development in this country: Immigration increases unemployment?	5.0	3	I neither agree or disagree with the statement because, in this rural area in the Philippines, there is not much competition for jobs due to the lack of exposure and resources. But on the other hand, immigrants could bring new sets of skills and ideas that could benefit the community, however, I don't think it would significantly affect the unemployment rate.	4
Asia	Male	Orthodox (Russian/Greek/etc.)	422070583	Q128	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement at it pertains to the effects of immigration on development in this country: Immigration increases unemployment?	5.0	4	As an Orthodox Christian Lebanese male with primary education and an urban background, I have less faith in the positive effects of immigration on this country's development, given the already high unemployment rates among the local population, especially in the urban areas like the one I live in.	4
Asia	Male	Orthodox (Russian/Greek/etc.)	422070705	Q128	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement at it pertains to the effects of immigration on development in this country: Immigration increases unemployment?	5.0	4	Person X is likely to disagree with the statement that immigration increases unemployment. As a young urban Male residing in Lebanon who was born and raised in Lebanon, with an upper secondary education and a relatively high household income, Person X is more likely to have a positive perception of immigration and its effects on development in the country. Additionally, their religious affiliation (Orthodox) may also influence their perception of immigration, given the historical and cultural ties between Orthodox Christianity and the Middle East.	4
Asia	Male	Do not belong to a denomination	392070891	Q128	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement at it pertains to the effects of immigration on development in this country: Immigration increases unemployment?	3.0	5	No surprise, considering his age and country of origin, Person X strongly disagrees with the statement given his lifetime experience of immigrant labor building Japan's economy. Furthermore, his patriotic sentiments towards Japan could also contribute to his opinion - an immigrant population may potentially contribute to a nation's development, but one's advocacy for national birth and homeland doesn't always translate to rejection of the global market and foreign labor.	4
Asia	Male	Do not belong to a denomination	496070268	Q128	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement at it pertains to the effects of immigration on development in this country: Immigration increases unemployment?	5.0	3	Somewhat disagree. There could be a couple of immigrants taking up jobs, but generally, they create new opportunities and bring in fresh ideas.	4
Asia	Male	Buddhist	446070892	Q128	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement at it pertains to the effects of immigration on development in this country: Immigration increases unemployment?	3.0	3	As a Buddhist male living in an urban area of Macao SAR and with upper secondary education, I somewhat agree that immigration increases unemployment, but it also brings diverse skills and knowledge that can contribute to the country's development.	4
Asia	Male	Protestant	344071116	Q128	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement at it pertains to the effects of immigration on development in this country: Immigration increases unemployment?	5.0	4	Person X is a Protestant man from Hong Kong, who was born and raised in the urban area. He believes that immigration does not lead to increased unemployment, instead, it brings in new skills and diversity. Thus, he agrees with the statement with a score of 4.	4
Asia	Male	Protestant	360072461	Q128	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement at it pertains to the effects of immigration on development in this country: Immigration increases unemployment?	5.0	4	I strongly agree with the statement. As a farmer in a rural area, I have seen how immigrants have taken jobs away from locals, leading to increased unemployment and decreased economic opportunities.	4
Asia	Male	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	458070575	Q128	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement at it pertains to the effects of immigration on development in this country: Immigration increases unemployment?	1.0	4	I disagree with the statement as there isn't a direct correlation between immigration and unemployment in my view. The economy is complex and there are various factors that contribute to unemployment, such as technological advancements and market fluctuations.	4
Asia	Male	Hindu	702071551	Q128	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement at it pertains to the effects of immigration on development in this country: Immigration increases unemployment?	5.0	3	I disagree with the statement, as immigrants tend to fill labor gaps and contribute to economic growth. In fact, they start new businesses, which can create jobs for locals.	4
Asia	Male	Hindu	458070456	Q128	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement at it pertains to the effects of immigration on development in this country: Immigration increases unemployment?	5.0	4	Immigrants bring new skills and ideas that can enhance economic growth and create new jobs.	4
Asia	Female	Other	702071587	Q128	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement at it pertains to the effects of immigration on development in this country: Immigration increases unemployment?	1.0	4	I disagree with the statement as immigrants bring new skill sets and ideas that can stimulate the economy and create job opportunities.	4
Asia	Female	Orthodox (Russian/Greek/etc.)	398070884	Q128	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement at it pertains to the effects of immigration on development in this country: Immigration increases unemployment?	5.0	4	Approve (or Disapprove). There is no proven correlation between immigration and unemployment in this country or the world.	4
Asia	Female	Do not belong to a denomination	410070014	Q128	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement at it pertains to the effects of immigration on development in this country: Immigration increases unemployment?	3.0	4	Person X disagrees with the statement as they have not observed any significant impact of immigration on unemployment rates in South Korea, and the country has a relatively low unemployment rate.	4
Asia	Female	Protestant	360073182	Q128	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement at it pertains to the effects of immigration on development in this country: Immigration increases unemployment?	5.0	3	I think immigration creates jobs and I don't believe it increases unemployment.	4
Europe	Male	Orthodox (Russian/Greek/etc.)	688071016	Q128	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement at it pertains to the effects of immigration on development in this country: Immigration increases unemployment?	3.0	4	Person X has a positive view of immigration, as they believe that it brings skilled workers and entrepreneurs who contribute to the country's development, rather than increasing unemployment.	4
Europe	Male	Roman Catholic	20070397	Q128	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement at it pertains to the effects of immigration on development in this country: Immigration increases unemployment?	1.0	4	As a 65+ year old male living in Andorra and with a lower secondary education, I have limited understanding of the effects of immigration on development. However, based on my general knowledge, I slightly agree that immigration might lead to an increase in unemployment.	4
Europe	Male	Protestant	276070321	Q128	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement at it pertains to the effects of immigration on development in this country: Immigration increases unemployment?	3.0	4	I strongly agree with the statement. As an older male with a high level of education, I have seen firsthand the impact that immigration has had on the German economy. While I understand that some people may have concerns about job displacement, I believe that the benefits of immigration far outweigh the costs.	4
Europe	Male	Protestant	642070623	Q128	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement at it pertains to the effects of immigration on development in this country: Immigration increases unemployment?	1.0	4	Coming from a urban area in Romania, I have observed how immigrants have contributed to the growth of our local economy by filling labor gaps and starting new businesses, thus I disagree with the notion that immigration increases unemployment.	4
Europe	Male	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	909070181	Q128	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement at it pertains to the effects of immigration on development in this country: Immigration increases unemployment?	3.0	3	Probably disagree. As an old man living in an urban area in Northern Ireland, I haven't seen any immigrants taking jobs away from me.	4
Europe	Female	Muslim	196070535	Q128	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement at it pertains to the effects of immigration on development in this country: Immigration increases unemployment?	5.0	3	As a female Muslim Turk living in an urban area of Cyprus with a post-secondary non-tertiary education and a household income of 7, I lean towards disagreeing with the statement. My native language is Turkish and I speak English at home. With my background and education, I find it unlikely that immigration increases unemployment. Instead, it could foster diversity and bring new skills and ideas to the workforce.	4
Europe	Female	Muslim	643070466	Q128	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement at it pertains to the effects of immigration on development in this country: Immigration increases unemployment?	1.0	4	Person X agrees that immigration tends to have a positive effect on development in Russia, because it brings varied ideas and skills into the country.	4
Europe	Female	Other	643070289	Q128	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement at it pertains to the effects of immigration on development in this country: Immigration increases unemployment?	5.0	4	As a well-educated female residing in an urban area in Russia, I believe that immigration can bring in fresh ideas and skills that can boost the economy and development in this country. However, I also acknowledge that increased competition in the job market might lead to higher unemployment rates among the native population, which is why I agree only partially with this statement.	4
Europe	Female	Roman Catholic	203070884	Q128	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement at it pertains to the effects of immigration on development in this country: Immigration increases unemployment?	5.0	4	As a Czech woman aged 25-34 with upper secondary education, I agree that immigration can increase unemployment in the short term because of the competition for jobs. However, in the long term, immigration brings new skills, innovation, and economic growth.	4
Europe	Female	Protestant	703070118	Q128	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement at it pertains to the effects of immigration on development in this country: Immigration increases unemployment?	5.0	4	I disagree with the statement as immigration has brought more diversity and talent to Slovakia, which has a positive impact on development.	4
Europe	Female	Protestant	276070618	Q128	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement at it pertains to the effects of immigration on development in this country: Immigration increases unemployment?	5.0	4	As a young German female with upper secondary education and a household income of 4 on a scale of 1 to 10, I have not experienced any significant negative impact of immigration on my personal development or employment prospects. In fact, I believe that immigration has contributed to the country's economic growth and diversity of perspectives.	4
Europe	Female	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	826071925	Q128	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement at it pertains to the effects of immigration on development in this country: Immigration increases unemployment?	1.0	4	I believe immigration can bring new skills and ideas that can boost the economy and create new jobs, so I disagree with the statement.	4
South America	Male	Other	32070925	Q128	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement at it pertains to the effects of immigration on development in this country: Immigration increases unemployment?	5.0	4	I think immigration has a positive effect on development because it brings skilled workers who contribute to economic growth.	4
South America	Male	Roman Catholic	170076394	Q128	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement at it pertains to the effects of immigration on development in this country: Immigration increases unemployment?	5.0	4	As a working-class, urban male in Colombia, I've seen the benefits of immigration in my community. Newcomers bring fresh ideas and skills, which can create jobs and boost the local economy. While there may be initial challenges, the long-term benefits outweigh the costs.	4
South America	Female	Other	76071763	Q128	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement at it pertains to the effects of immigration on development in this country: Immigration increases unemployment?	1.0	3	I somewhat agree, but I believe that immigration also brings new skills and ideas that can benefit the economy.	4
South America	Female	Do not belong to a denomination	218070048	Q128	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement at it pertains to the effects of immigration on development in this country: Immigration increases unemployment?	3.0	4	I slightly agree with the statement. As a rural resident in Ecuador, I have seen how immigration has brought new skills and ideas that have improved our local economy, but it also creates competition in the job market, which can lead to higher unemployment rates among locals.	4
South America	Female	Roman Catholic	68070020	Q128	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement at it pertains to the effects of immigration on development in this country: Immigration increases unemployment?	3.0	4	As a highly educated woman who was born and raised in urban Bolivia, I have not seen sufficient evidence to suggest that immigration increases unemployment. In fact, I believe that immigration has brought valuable skills and perspectives that have contributed to the country's development.	4
South America	Female	Other Christian (Evangelical/Pentecostal/Fee church/etc.)	68070916	Q128	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement at it pertains to the effects of immigration on development in this country: Immigration increases unemployment?	3.0	4	As an Evangelical Christian woman living in an urban area of Bolivia, I believe that immigration increases unemployment, as it puts pressure on the job market and can lead to competition for resources.	4
Africa	Male	Muslim	434070992	Q128	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement at it pertains to the effects of immigration on development in this country: Immigration increases unemployment?	1.0	4	I disagree with the statement as I believe immigrants bring new skills and ideas that can help create jobs and boost the economy.	4
Africa	Male	Muslim	434070011	Q128	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement at it pertains to the effects of immigration on development in this country: Immigration increases unemployment?	5.0	4	Person X, being a male from Libya with an upper secondary education, might agree that immigration increases unemployment, especially in an urban setting like Libya, due to the limited job opportunities and the high competition from foreign workers. However, he might also consider the potential benefits of immigration, such as the transfer of skills and knowledge.	4
Africa	Male	Orthodox (Russian/Greek/etc.)	231071152	Q128	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement at it pertains to the effects of immigration on development in this country: Immigration increases unemployment?	5.0	4	I agree with the statement that immigration significantly increases unemployment, as there is growing competition for limited jobs. This is particularly true in urban settings like where I reside. Nevertheless, I do not believe this statement to be absolute and recognize that some immigrants also contribute significantly to economic development through entrepreneurship and innovation.	4
Africa	Male	Orthodox (Russian/Greek/etc.)	231070547	Q128	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement at it pertains to the effects of immigration on development in this country: Immigration increases unemployment?	5.0	4	I somewhat agree because the large number of immigrants coming to our country seeking employment opportunities has led to stiff competition in the labor market.	4
Africa	Female	Muslim	716070892	Q128	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement at it pertains to the effects of immigration on development in this country: Immigration increases unemployment?	1.0	3	As a rural female with lower secondary education, I don't have much experience with immigration and its effects on development in this country. However, I believe that immigration can bring diverse skills and ideas that could contribute to economic growth and development.	4
Africa	Female	Muslim	788070270	Q128	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement at it pertains to the effects of immigration on development in this country: Immigration increases unemployment?	5.0	4	As a female aged 55-64 residing in Tunisia, I disagree with the notion that immigration increases unemployment because of its potential to broaden skill sets, encourage entrepreneurship, and stimulate economic growth.	4
Africa	Female	Orthodox (Russian/Greek/etc.)	231070731	Q128	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement at it pertains to the effects of immigration on development in this country: Immigration increases unemployment?	5.0	4	Rural female (25-34 y.o) living in Ethiopia, born and raised in Ethiopia, whose parents were also born in Ethiopia, with early childhood education (ISCED 0) and with a household income of 6 on the income scale, is likely to have a positive view on the effects of immigration on development since her community is predominantly homogenous and has limited exposure to the economy and job market.	4
Africa	Female	Roman Catholic	716070027	Q128	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement at it pertains to the effects of immigration on development in this country: Immigration increases unemployment?	1.0	4	I think immigrants bring fresh ideas and skills, which can boost the economy and create job opportunities.	4
North America	Male	Muslim	840072690	Q128	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement at it pertains to the effects of immigration on development in this country: Immigration increases unemployment?	5.0	4	Person X is of the opinion that immigration brings in new skills and perspectives that can lead to job creation, rather than unemployment, and would score a 4 on this statement.	4
North America	Male	Other	124074619	Q128	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement at it pertains to the effects of immigration on development in this country: Immigration increases unemployment?	5.0	4	I somewhat agree, as immigrants may face challenges in finding employment, especially if they lack proficiency in the local language or have limited education. However, they also bring new skills and perspectives that can contribute to innovation and growth.	4
North America	Male	Other	124074936	Q128	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement at it pertains to the effects of immigration on development in this country: Immigration increases unemployment?	3.0	3	While I have not experienced unemployment due to immigration, I have noticed a slight increase in competition for jobs in our rural community. This has led to a marginal decrease in wages for some jobs.	4
North America	Male	Orthodox (Russian/Greek/etc.)	124070933	Q128	On a scale of 1 to 5, 1 meaning 'Disagree' and 5 meaning 'Agree',  do you agree or disagree with the following statement at it pertains to the effects of immigration on development in this country: Immigration increases unemployment?	5.0	4	Person X indicates that while immigration may have some impact on unemployment, it is not the sole cause and there are other factors at play. As someone who was born in India and has lived in Canada, they have seen firsthand the benefits of immigration and the contributions that immigrants bring to the economy and society.	4
